tsne_1,tsne_2,temp_zscore
35.158638,1.0095356,1.0481102
-43.74413,-6.226559,-2.4709039
-40.140594,-8.342838,-1.0108874
-28.868847,-9.680044,0.86092865
-25.097675,-6.729108,0.29938385
10.488436,-15.532333,0.86092865
37.085613,8.799714,0.11220226
4.4595375,-2.496512,-0.59908783
-22.092756,-1.9145231,0.95451945
-28.761955,-9.601609,0.86092865
38.773705,18.510046,2.3583815
23.672646,-15.480691,0.48656544
6.3069315,-7.6586657,-1.0108874
-11.518799,15.4859085,0.48656544
4.9601603,8.663995,-0.54293334
9.787506,-15.426928,-0.54293334
-14.950164,12.418757,0.11220226
6.0771346,-4.107609,-0.44934255
4.4149504,7.291978,1.0481102
10.131262,-15.845755,-0.9172965
36.66902,7.210684,1.2352918
-42.657887,-6.662433,-0.07497935
-25.778057,-6.6666603,-0.9172965
-20.251308,0.20636164,-1.0108874
34.70262,0.06520879,0.11220226
-10.620951,15.597647,1.2352918
4.576069,0.034390677,-0.54293334
14.999085,-18.305962,-0.54293334
-25.494593,-6.671999,0.11220226
4.6011443,0.2640926,-0.59908783
-48.61535,-0.46818352,-0.63652414
4.730326,12.92749,1.2352918
10.731148,-16.362835,-1.0108874
-24.919567,-5.801624,-0.96409196
27.786932,-12.521121,-0.59908783
-8.8694935,16.797356,0.11220226
38.825333,17.610342,2.3583815
3.3417368,12.770927,-0.54293334
-50.25529,0.9168253,-0.54293334
37.04545,8.000505,-0.07497935
-18.469276,6.5996056,0.018611453
-15.586346,11.825501,0.86092865
-15.330794,11.862131,0.11220226
34.356667,0.18701959,0.11220226
-27.113136,-8.252388,0.48656544
27.031307,-12.301329,0.86092865
38.927357,18.149942,1.7968366
-37.292534,-10.268006,-2.4709039
10.116408,-15.083151,0.67374706
-51.468533,2.0175114,-1.0108874
-1.8692163,15.894193,-0.07497935
-3.4669309,16.693846,0.11220226
-45.17791,-4.368563,-1.0108874
20.67054,-17.374683,-0.9172965
-12.935753,14.4236965,0.86092865
-47.31722,-1.5919838,-1.0108874
36.211697,5.732875,0.29938385
-30.824814,-10.05841,0.67374706
-49.13119,-0.16373424,-1.0108874
-28.362888,-9.716659,1.4224734
0.56410676,15.584996,-0.54293334
13.27059,-17.22144,0.11220226
-42.58913,-7.033576,-0.9547329
28.793747,-11.27464,-1.0108874
19.030354,-17.145092,1.609655
-27.97874,-8.85043,0.39297464
31.821068,-6.407745,0.86092865
36.981976,10.245775,2.1711998
-7.149116,17.151672,0.48656544
34.85442,2.0630012,-1.0108874
-17.251541,9.524238,1.0481102
