run_id,lr_g,beta,latent_dim,lambda_cons,vae_n_res_blocks,free_bits_tau,recon_loss,kl_loss,cons_loss,elbo
60.0,1e-05,0.5,64.0,10.0,3.0,2.0,5.393448478697182e-06,1.9483876606229402,0.0,1.0000053943749463
61.0,1e-05,0.5,64.0,10.0,5.0,0.0,2.5139575451453115e-05,1.3185776242837312e-07,0.0,2.5205504329231304e-05
62.0,1e-05,0.5,64.0,10.0,5.0,1.0,1.2789671249952373e-05,0.9666068174653507,0.0,0.5000127895421185
63.0,1e-05,0.5,64.0,10.0,5.0,2.0,1.5559301070139445e-05,1.9427731689870873,0.0,1.0000155597323988
64.0,1e-05,0.5,128.0,10.0,1.0,0.0,6.761169451990181e-06,3.306624137822347e-07,0.0,6.926500659561126e-06
65.0,1e-05,0.5,128.0,10.0,1.0,1.0,3.0039249658243443e-06,0.9629144256671499,0.0,0.5000030030778231
66.0,1e-05,0.5,128.0,10.0,1.0,2.0,2.9842548498317114e-06,1.9096386457382775,0.0,1.000002983942499
67.0,1e-05,0.5,128.0,10.0,3.0,0.0,3.6302524046656276e-06,6.781624231194964e-08,0.0,3.6641605243800403e-06
68.0,1e-05,0.5,128.0,10.0,3.0,1.0,3.971898010056697e-06,0.9710038950532589,0.0,0.5000039725894543
69.0,1e-05,0.5,128.0,10.0,3.0,2.0,3.49839375016416e-06,1.9570069840730782,0.0,1.0000034981570944
70.0,1e-05,0.5,128.0,10.0,5.0,0.0,6.008457666885656e-06,8.954562359876264e-08,0.0,6.05323047951844e-06
71.0,1e-05,0.5,128.0,10.0,5.0,1.0,8.753356664403448e-06,0.9604139345867146,0.0,0.5000087533972792
72.0,1e-05,0.5,128.0,10.0,5.0,2.0,9.36252839740385e-06,1.9323829716152003,0.0,1.0000093625670552
73.0,1e-05,0.5,256.0,10.0,1.0,0.0,1.0284008167165996e-05,2.8536150645491832e-06,0.0,1.1710815703634224e-05
74.0,1e-05,0.5,256.0,10.0,1.0,1.0,3.7803841138465994e-06,0.9647688459937785,0.0,0.5000037795185012
